LAT,LON,Location
-75.7462,39.676221,Eliphalet Gilbert Hall
-75.7453,39.675903,Lot#50S 
-75.7453,39.676081,Lot#57 
-75.7462,39.676389,Louis Redding Hall (east side) 
-75.7474,39.676342,Louis Redding Hall (west side) 
-75.7481,39.676152,Harrington Commons (north exit) 
-75.7485,39.676355,Harrington Hall East (east side) 
-75.7484,39.676601,Harrington Turf  
-75.7486,39.676988,Perkins Student Center (East exit) 
-75.7479,39.677037,Russel Residence Dining (south west exit) 
-75.7472,39.676908,Russel Residence Dining (south east exit) 
-75.7493,39.677483,North Brick walkway (n perkins food truck) 
-75.7493,39.677483,North Brick walkway (n perkins food truck) 
-75.7500,39.677086,West side Perkins  entrance 
-75.7500,39.677316,Academy crosswalk Perkins 
-75.7502,39.677504,Caesar Rodney Hall (NE entrance) 
-75.7512,39.677504,Caesar Rodney Hall (Circle by NW entrance) 
-75.7517,39.677718,East Walkway The Green (facing Memorial Hall) 
-75.7518,39.677663,Fountain The Green 
-75.7522,39.677775,West Walkway The Green (facing Memorial Hall) 
-75.7521,39.678875,S Front Memorial Hall 
-75.7517,39.678912,W exit Lammot du Pont Lab & walkway  
-75.7519,39.679539,Walkway arch by Memorial and Brown lab 
-75.7519,39.679539,Walkway the Green & Brown Lab w exit 
-75.7515,39.678672,200 Academy st. sw exit & Coll. Ed. w exit 
-75.7537,39.678960,SW corner S College Ave & Kent Way 
-75.7537,39.680009,SW corner Amstel & S College 
-75.7546,39.679977,Amstel area between Pernell and Smith halls 
-75.7558,39.680431,NW corner Amstel & Orchard – w exit Pernell 
-75.7559,39.685123,Cleveland & N College lot 
-75.7544,39.684846,N College n side tracks 
-75.7544,39.685709,SE corner Cleveland and N college intersection 
-75.7546,39.687023,Pencader way bridge n campus 
-75.7594,39.690397,Conference center lot n campus 
-75.7525,39.684005,CSB front 
-75.7525,39.683631,Circle by CSB and Elliot hall 
-75.7523,39.683159,Crosswalk Main by UD office international studies 
-75.7526,39.682923,The Green between Main and Delaware  
-75.7523,39.683046,S side Main by Grotto Pizza 
-75.7514,39.683107,Crosswalk s main by dunkin 
-75.7500,39.683227,BarnesNoble books main 
-75.7496,39.683264,Crosswalk Academy & Main 
-75.7487,39.683312,Post Office Main 
-75.7539,39.684332,CSB front lot 
-75.7534,39.684725,CSB side lot 
-75.7476,39.683412,crosswalk starbucks main 
-75.7468,39.683468,Crosswalk choate and main 
-75.7485,39.683319,Crosswalk walgreens main 
-75.7456,39.683542,Crosswalk N Chapel and Main 
-75.7473,39.682241,Crosswalk Haines and Delaware  
-75.7497,39.682019,crosswalk academy and delaware 
-75.7526,39.681684,crosswalk The green and delaware 
-75.7534,39.681545,crosswalk college & delaware 
-75.7536,39.682364,student center college 
-75.7536,39.683122,crosswalk s college & main 
-75.7542,39.682886,Crosswalk n college and main 
-75.7535,39.680638,Gore hall west exit 
-75.7505,39.681041,Spencer lab west exit 
-75.7514,39.681462,Mckinly Lab west exit 
-75.7504,39.681325,Walkway between Mckinly lab & center for biomedical and brain imaging 
-75.7496,39.681516,Center compost materials Delaware & academy  
-75.7496,39.681141,Biden school west exit 
-75.7496,39.681123,Spencer lab east exit on delaware 
-75.7496,39.680084,Colburn lab east exit on delaware 
-75.7496,39.679619,Hanker inter NW exit 
-75.7492,39.680200,Pearson hall west exit 
-75.7494,39.679797,Walkway & intersection Lovett & Academy 
-75.7479,39.678156,Russell res. Hall NW exit walkway 
-75.7482,39.678490,Walkway between Geo society and Hanker 
-75.7493,39.678879,Hanker courtyard southside 
-75.7485,39.679306,student financial services south exit 
-75.7487,39.679350,Hanker lab north exit on lovett 
-75.7455,39.682357,Crosswalk Delaware & S Chapel  
