id,week,date,timeofday,LON,LAT,activity,withmask,maskcompliant,socialdist,sdmaskcomp,agegroup,white,sex,obese
2312,0,2/10/2021,111609,39.677461,-75.750015,2,1,9,0,9,9,9,1,9
2329,0,2/10/2021,112923,39.68215753,-75.7474006,2,0,0,0,0,2,1,2,0
2330,0,2/10/2021,112923,39.68216267,-75.7473838,2,0,0,0,0,2,1,2,0
2333,0,2/10/2021,113105,39.6836056,-75.7471301,2,0,0,0,0,2,1,2,0
2357,0,2/10/2021,113218,39.68330277,-75.750655,2,0,0,0,0,2,1,2,0
2358,0,2/10/2021,113218,39.68331361,-75.7506539,2,0,0,0,0,2,1,2,0
2366,0,2/10/2021,113301,39.68300295,-75.75286344,2,0,0,0,0,2,1,2,1
2374,0,2/10/2021,113448,39.68523801,-75.75433,2,0,0,0,0,2,1,2,0
2375,0,2/10/2021,113448,39.68523491,-75.7543086,2,0,0,0,0,2,1,2,0
2378,0,2/10/2021,113624,39.68679538,-75.7545178,2,0,0,0,0,2,1,2,0
2379,0,2/10/2021,113624,39.68678609,-75.7545057,2,0,0,0,0,2,1,2,0
2382,0,2/10/2021,113838,39.69008234,-75.757274,4,0,0,0,0,3,1,1,1
2323,0,2/10/2021,112324,39.68295,-75.753558,1,1,0,0,0,2,0,1,0
2352,0,2/10/2021,113211,39.68335666,-75.750106,2,1,0,0,0,2,1,2,0
2353,0,2/10/2021,113211,39.68335076,-75.7501061,2,1,0,0,0,2,1,2,1
2367,0,2/10/2021,113301,39.68299314,-75.7528379,2,1,0,0,0,2,1,2,1
2369,0,2/10/2021,113353,39.68399118,-75.7527876,2,1,0,0,0,2,1,2,0
2295,0,2/10/2021,111402,39.675935,-75.745534,2,1,1,0,1,3,1,1,9
2296,0,2/10/2021,111402,39.675939,-75.74548,2,1,1,0,1,3,1,2,9
2309,0,2/10/2021,111454,39.676563,-75.747379,2,1,1,0,1,9,9,2,9
2310,0,2/10/2021,111454,39.676559,-75.747345,2,1,1,0,1,2,1,2,0
2313,0,2/10/2021,111611,39.677475,-75.750013,2,1,1,0,1,3,1,2,0
2314,0,2/10/2021,111611,39.677486,-75.750003,2,1,1,0,1,2,1,1,0
2322,0,2/10/2021,112324,39.682957,-75.753547,1,1,1,0,1,2,0,1,0
2334,0,2/10/2021,113105,39.68359708,-75.747126,2,1,1,0,1,2,1,2,0
2336,0,2/10/2021,113115,39.68357696,-75.74750369,1,1,1,0,1,2,1,2,1
2337,0,2/10/2021,113115,39.68357984,-75.7474909,1,1,1,0,1,2,1,2,0
2338,0,2/10/2021,113127,39.68350707,-75.7479985,2,1,1,0,1,3,1,1,0
2339,0,2/10/2021,113127,39.6835143,-75.7479952,2,1,1,0,1,2,1,1,0
2340,0,2/10/2021,113127,39.68352049,-75.7479784,2,1,1,0,1,3,1,2,0
2343,0,2/10/2021,113129,39.68334891,-75.748282,1,1,1,0,1,3,1,1,0
