id,date,LON,LAT,activity,withmask,maskcompliant,socialdist,agegroup,white,sex,obese,filter_$
2301,2/10/2021,39.676137000,-75.74731000,1,9,9,1,4,1,1,0,0
2307,2/10/2021,39.676546000,-75.74744900,1,9,9,1,9,9,9,,0
2319,2/10/2021,39.680125000,-75.75392200,2,0,0,1,3,1,1,0,0
2320,2/10/2021,39.681984000,-75.75354000,2,0,0,1,2,1,1,0,1
2328,2/10/2021,39.681391739,-75.74725576,2,0,0,1,2,1,2,0,1
2329,2/10/2021,39.682157530,-75.74740060,2,0,0,0,2,1,2,0,1
2330,2/10/2021,39.682162673,-75.74738380,2,0,0,0,2,1,2,0,1
2332,2/10/2021,39.683645847,-75.74646400,2,0,0,1,2,1,2,0,1
2333,2/10/2021,39.683605596,-75.74713010,2,0,0,0,2,1,2,0,1
2335,2/10/2021,39.683559413,-75.74759500,2,0,0,1,2,0,1,0,1
2345,2/10/2021,39.683439732,-75.74828820,2,0,0,1,4,1,1,0,1
2347,2/10/2021,39.683476887,-75.74859800,1,0,0,1,4,1,1,1,1
2357,2/10/2021,39.683302772,-75.75065500,2,0,0,0,2,1,2,0,1
2358,2/10/2021,39.683313609,-75.75065390,2,0,0,0,2,1,2,0,1
2360,2/10/2021,39.683296579,-75.75087500,2,0,0,1,2,0,1,0,1
2365,2/10/2021,39.683189757,-75.75241550,2,0,0,1,2,1,2,0,1
2366,2/10/2021,39.683002948,-75.75286344,2,0,0,0,2,1,2,1,1
2371,2/10/2021,39.684117606,-75.75248520,2,0,0,1,2,1,2,0,1
2374,2/10/2021,39.685238008,-75.75433000,2,0,0,0,2,1,2,0,1
2375,2/10/2021,39.685234912,-75.75430860,2,0,0,0,2,1,2,0,1
2376,2/10/2021,39.685706564,-75.75457410,2,0,0,1,2,1,2,0,1
2378,2/10/2021,39.686795378,-75.75451780,2,0,0,0,2,1,2,0,1
2379,2/10/2021,39.686786090,-75.75450570,2,0,0,0,2,1,2,0,1
2382,2/10/2021,39.690082345,-75.75727400,4,0,0,0,3,1,1,1,1
2295,2/10/2021,39.675935000,-75.74553400,2,1,1,0,3,1,1,,0
2296,2/10/2021,39.675939000,-75.74548000,2,1,1,0,3,1,2,,0
2297,2/10/2021,39.675943000,-75.74564100,2,1,1,1,3,1,1,0,0
2298,2/10/2021,39.676021000,-75.74569500,1,1,1,1,3,0,1,1,0
2299,2/10/2021,39.675955000,-75.74609700,2,1,1,1,2,1,2,0,0
2300,2/10/2021,39.675910000,-75.74611300,2,1,1,1,2,1,1,,0
2302,2/10/2021,39.676360000,-75.74744900,2,1,1,1,2,1,2,0,0
2303,2/10/2021,39.676434000,-75.74746500,1,1,1,1,3,1,1,0,0
2304,2/10/2021,39.676434000,-75.74740100,2,1,1,1,2,1,2,0,0
2305,2/10/2021,39.676348000,-75.74749200,1,1,1,1,3,1,2,,0
2306,2/10/2021,39.676484000,-75.74729900,2,1,1,1,2,9,1,0,0
2308,2/10/2021,39.676620000,-75.74740600,2,1,1,1,9,9,1,,0
2309,2/10/2021,39.676563000,-75.74737900,2,1,1,0,9,9,2,,0
2310,2/10/2021,39.676559000,-75.74734500,2,1,1,0,2,1,2,0,0
2311,2/10/2021,39.677454000,-75.74969200,2,1,1,1,2,1,2,0,0
2312,2/10/2021,39.677461000,-75.75001500,2,1,9,0,9,9,1,,0
2313,2/10/2021,39.677475000,-75.75001300,2,1,1,0,3,1,2,0,0
