semester 1=fall 2=spring,studyweek 1=baseline,"activity % moving (walk, run, bike)",withmask % with a mask,maskincorrect (% without mask or with mask but worn incorrectly),notphysicaldist (% < 6 ft from someone),percentnotcomliantsdmask (% non-compliant with mask wearing and physical distancing),ageover55,percentmale,percentobese,percentnonwhite
2.00,1.00,74.73,75.28,38.20,41.76,19.78,7.14,50.56,20.73,12.50
2.00,2.00,79.38,82.11,29.47,45.88,14.58,2.86,34.39,14.20,6.47
2.00,3.00,68.69,74.88,38.65,56.54,28.23,1.99,41.43,16.50,13.68
2.00,4.00,76.68,85.33,32.40,51.30,21.81,2.29,39.36,19.05,12.80
2.00,5.00,66.80,58.09,52.72,56.40,32.24,2.86,30.92,22.46,9.47
2.00,6.00,82.96,82.17,25.20,40.74,11.45,3.13,37.31,21.67,10.40
2.00,7.00,79.81,69.52,45.93,61.97,30.62,2.40,44.29,17.73,16.18
2.00,8.00,71.98,73.74,43.30,64.25,27.14,7.29,42.57,18.42,10.26
2.00,9.00,70.83,77.11,37.35,48.21,19.28,4.24,37.50,29.19,16.97
2.00,10.00,85.60,69.42,41.32,42.40,15.57,5.17,43.55,30.36,10.74
2.00,11.00,54.31,42.11,69.74,64.21,50.26,4.76,31.03,14.97,9.87
2.00,12.00,65.30,44.27,72.90,58.30,46.82,0.38,37.55,19.63,9.26
2.00,13.00,72.02,56.25,65.63,59.59,39.58,2.11,38.34,17.46,23.16
2.00,14.00,76.92,44.64,76.19,48.50,39.64,7.19,34.32,19.25,5.33
2.00,15.00,66.05,32.22,83.33,70.48,62.36,1.49,31.60,18.82,21.56
2.00,16.00,76.51,33.11,79.73,51.01,41.61,9.40,40.27,25.68,13.51
