id,studyweek with 1=baseline,semester 2=spring,date,correcttod,LON,LAT,"activity 1= not moving; 2-6=moving (walk, run, bike, skateboard)",withmask (0=without mask),maskproper (0= mask is not worn correctly),nomaskincor (0=no mask or with mask but worn incorrectly),socialdist (0=not physical distancing < 6 ft),Masksd (0=non-compliance with mask wearing and physical distancing),agegroup (1=<18;2=19-30;3=31-55;4=>55),white (0=nonwhite),sex (1=male),obese (0=not overweight or obese)
2297,1,2,2/10/2021,111405,39.675943,-75.745641,2,1,1,1,1,1,3,1,1,0
2298,1,2,2/10/2021,111405,39.676021,-75.745695,1,1,1,1,1,1,3,0,1,1
2299,1,2,2/10/2021,111411,39.675955,-75.746097,2,1,1,1,1,1,2,1,2,0
2300,1,2,2/10/2021,111411,39.67591,-75.746113,2,1,1,1,1,1,2,1,1,9
2301,1,2,2/10/2021,111439,39.676137,-75.74731,1,9,9,0,1,9,4,1,1,0
2302,1,2,2/10/2021,111444,39.67636,-75.747449,2,1,1,1,1,1,2,1,2,0
2303,1,2,2/10/2021,111444,39.676434,-75.747465,1,1,1,1,1,1,3,1,1,0
2304,1,2,2/10/2021,111447,39.676434,-75.747401,2,1,1,1,1,1,2,1,2,0
2305,1,2,2/10/2021,111448,39.676348,-75.747492,1,1,1,1,1,1,3,1,2,9
2306,1,2,2/10/2021,111451,39.676484,-75.747299,2,1,1,1,1,1,2,9,1,0
2307,1,2,2/10/2021,111454,39.676546,-75.747449,1,9,9,0,1,9,9,9,9,9
2308,1,2,2/10/2021,111454,39.67662,-75.747406,2,1,1,1,1,1,9,9,1,9
2311,1,2,2/10/2021,111604,39.677454,-75.749692,2,1,1,1,1,1,2,1,2,0
2315,1,2,2/10/2021,111615,39.677508,-75.750152,1,1,1,1,1,1,9,9,1,1
2316,1,2,2/10/2021,111628,39.677491,-75.75073,1,1,9,0,1,9,3,9,1,0
2317,1,2,2/10/2021,111653,39.677704,-75.751676,1,1,1,1,1,1,9,9,9,9
2318,1,2,2/10/2021,111859,39.67902,-75.753474,4,1,1,1,1,1,9,1,1,0
2319,1,2,2/10/2021,111933,39.680125,-75.753922,2,0,9,0,1,1,3,1,1,0
2320,1,2,2/10/2021,112315,39.681984,-75.75354,2,0,9,0,1,1,2,1,1,0
2321,1,2,2/10/2021,112313,39.681924,-75.75376,2,1,1,1,1,1,3,0,1,0
2324,1,2,2/10/2021,112558,39.680169,-75.749739,1,1,1,1,1,1,3,9,1,1
2325,1,2,2/10/2021,112609,39.679497,-75.749662,2,1,1,1,1,1,2,9,2,0
2326,1,2,2/10/2021,112754,39.67946993,-75.7486076,1,1,0,0,1,1,2,1,2,0
2327,1,2,2/10/2021,112802,39.6792903,-75.748132,2,1,1,1,1,1,2,1,1,0
2328,1,2,2/10/2021,112909,39.68139174,-75.74725576,2,0,9,0,1,1,2,1,2,0
2331,1,2,2/10/2021,113028,39.68352688,-75.7454329,2,1,0,0,1,1,3,0,1,0
2332,1,2,2/10/2021,113049,39.68364585,-75.746464,2,0,9,0,1,1,2,1,2,0
2335,1,2,2/10/2021,113115,39.68355941,-75.747595,2,0,9,0,1,9,2,0,1,0
2341,1,2,2/10/2021,113127,39.68352256,-75.7479348,2,1,1,1,1,1,3,1,1,0
2342,1,2,2/10/2021,113129,39.68334224,-75.74826,1,1,1,1,1,1,4,1,1,1
2345,1,2,2/10/2021,113131,39.68343973,-75.7482882,2,0,9,0,1,1,4,1,1,0
2346,1,2,2/10/2021,113137,39.68333239,-75.7484626,2,1,1,1,1,1,2,1,1,0
2347,1,2,2/10/2021,113136,39.68347689,-75.748598,1,0,9,0,1,1,4,1,1,1
2348,1,2,2/10/2021,113155,39.68320545,-75.74931286,2,1,1,1,1,1,3,9,1,0
2349,1,2,2/10/2021,113207,39.68337574,-75.749902,2,1,1,1,1,1,2,0,1,0
2350,1,2,2/10/2021,113208,39.68322299,-75.7500008,1,1,1,1,1,1,3,1,1,1
2351,1,2,2/10/2021,113209,39.68336749,-75.7500397,2,1,1,1,1,1,2,1,1,0
2354,1,2,2/10/2021,113212,39.68320937,-75.750316,1,1,0,0,1,1,2,1,2,1
2355,1,2,2/10/2021,113216,39.683177,-75.750562,2,1,1,1,1,1,2,1,2,1
2356,1,2,2/10/2021,113216,39.6831686,-75.750564,2,1,1,1,1,1,2,1,1,0
2359,1,2,2/10/2021,113220,39.68314951,-75.7508088,1,1,1,1,1,1,4,1,2,0
2360,1,2,2/10/2021,113225,39.68329658,-75.750875,2,0,9,0,1,1,2,0,1,0
2361,1,2,2/10/2021,113235,39.68324239,-75.7514137,2,1,1,1,1,1,2,1,2,0
2362,1,2,2/10/2021,113237,39.68324601,-75.7516296,2,1,1,1,1,1,2,1,1,0
2363,1,2,2/10/2021,113247,39.683053,-75.752056,2,1,1,1,1,1,3,1,2,0
2364,1,2,2/10/2021,113247,39.68319285,-75.75210102,2,1,1,1,1,1,3,0,1,0
2365,1,2,2/10/2021,113253,39.68318976,-75.7524155,2,0,9,0,1,1,2,1,2,0
2370,1,2,2/10/2021,113354,39.68398085,-75.7527595,2,1,0,0,1,1,2,0,2,0
2371,1,2,2/10/2021,113358,39.68411761,-75.7524852,2,0,9,0,1,1,2,1,2,0
2376,1,2,2/10/2021,113544,39.68570656,-75.7545741,2,0,9,0,1,1,2,1,2,0
2377,1,2,2/10/2021,113549,39.68585054,-75.7543723,1,1,1,1,1,1,2,1,2,0
2380,1,2,2/10/2021,113637,39.68738624,-75.7543612,2,1,1,1,1,1,2,1,1,0
2381,1,2,2/10/2021,113642,39.68763703,-75.754286,2,1,1,1,1,1,2,1,2,0
2384,1,2,2/10/2021,113845,39.69002817,-75.7575536,2,1,0,0,1,1,2,1,1,0
2295,1,2,2/10/2021,111402,39.675935,-75.745534,2,1,1,1,0,1,3,1,1,9
2296,1,2,2/10/2021,111402,39.675939,-75.74548,2,1,1,1,0,1,3,1,2,9
2309,1,2,2/10/2021,111454,39.676563,-75.747379,2,1,1,1,0,1,9,9,2,9
2310,1,2,2/10/2021,111454,39.676559,-75.747345,2,1,1,1,0,1,2,1,2,0
2312,1,2,2/10/2021,111609,39.677461,-75.750015,2,1,9,0,0,9,9,9,1,9
2313,1,2,2/10/2021,111611,39.677475,-75.750013,2,1,1,1,0,1,3,1,2,0
2314,1,2,2/10/2021,111611,39.677486,-75.750003,2,1,1,1,0,1,2,1,1,0
2322,1,2,2/10/2021,112324,39.682957,-75.753547,1,1,1,1,0,1,2,0,1,0
2323,1,2,2/10/2021,112324,39.68295,-75.753558,1,1,0,0,0,0,2,0,1,0
2329,1,2,2/10/2021,112923,39.68215753,-75.7474006,2,0,9,0,0,0,2,1,2,0
2330,1,2,2/10/2021,112923,39.68216267,-75.7473838,2,0,9,0,0,0,2,1,2,0
2333,1,2,2/10/2021,113105,39.6836056,-75.7471301,2,0,9,0,0,0,2,1,2,0
2334,1,2,2/10/2021,113105,39.68359708,-75.747126,2,1,1,1,0,1,2,1,2,0
2336,1,2,2/10/2021,113115,39.68357696,-75.74750369,1,1,1,1,0,1,2,1,2,1
2337,1,2,2/10/2021,113115,39.68357984,-75.7474909,1,1,1,1,0,1,2,1,2,0
2338,1,2,2/10/2021,113127,39.68350707,-75.7479985,2,1,1,1,0,1,3,1,1,0
2339,1,2,2/10/2021,113127,39.6835143,-75.7479952,2,1,1,1,0,1,2,1,1,0
2340,1,2,2/10/2021,113127,39.68352049,-75.7479784,2,1,1,1,0,1,3,1,2,0
2343,1,2,2/10/2021,113129,39.68334891,-75.748282,1,1,1,1,0,1,3,1,1,0
2344,1,2,2/10/2021,113129,39.68335716,-75.7482989,1,1,1,1,0,1,4,1,1,0
2352,1,2,2/10/2021,113211,39.68335666,-75.750106,2,1,0,0,0,0,2,1,2,0
2353,1,2,2/10/2021,113211,39.68335076,-75.7501061,2,1,0,0,0,0,2,1,2,1
2357,1,2,2/10/2021,113218,39.68330277,-75.750655,2,0,9,0,0,0,2,1,2,0
2358,1,2,2/10/2021,113218,39.68331361,-75.7506539,2,0,9,0,0,0,2,1,2,0
2366,1,2,2/10/2021,113301,39.68300295,-75.75286344,2,0,9,0,0,0,2,1,2,1
2367,1,2,2/10/2021,113301,39.68299314,-75.7528379,2,1,0,0,0,0,2,1,2,1
2368,1,2,2/10/2021,113353,39.6840015,-75.75279705,2,1,1,1,0,1,2,1,2,1
2369,1,2,2/10/2021,113353,39.68399118,-75.7527876,2,1,0,0,0,0,2,1,2,0
2372,1,2,2/10/2021,113405,39.68426063,-75.7527489,2,1,1,1,0,1,2,1,1,1
2373,1,2,2/10/2021,113405,39.6842725,-75.752739,2,1,1,1,0,1,2,1,2,1
2374,1,2,2/10/2021,113448,39.68523801,-75.75433,2,0,9,0,0,0,2,1,2,0
2375,1,2,2/10/2021,113448,39.68523491,-75.7543086,2,0,9,0,0,0,2,1,2,0
2378,1,2,2/10/2021,113624,39.68679538,-75.7545178,2,0,9,0,0,0,2,1,2,0
2379,1,2,2/10/2021,113624,39.68678609,-75.7545057,2,0,9,0,0,0,2,1,2,0
2382,1,2,2/10/2021,113838,39.69008234,-75.757274,4,0,9,0,0,0,3,1,1,1
2383,1,2,2/10/2021,113838,39.69009008,-75.7572673,1,1,1,1,0,1,3,1,1,1
2385,1,2,2/10/2021,113908,39.69013033,-75.7585132,2,1,1,1,0,1,3,1,1,0
3295,2,2,2/16/2021,131832,39.67674813,-75.7472614,2,1,1,1,1,1,3,1,1,1
3296,2,2,2/16/2021,131855,39.67618352,-75.748237,1,1,1,1,1,1,3,1,2,1
3297,2,2,2/16/2021,131857,39.67613397,-75.7482913,2,1,1,1,1,1,2,1,2,1
3298,2,2,2/16/2021,131915,39.67680903,-75.748519,2,1,1,1,1,1,2,1,2,0
3299,2,2,2/16/2021,131916,39.67688335,-75.7484952,4,0,9,0,1,1,2,9,1,0
3302,2,2,2/16/2021,131926,39.6771352,-75.748336,2,0,9,0,1,1,2,1,1,0
3307,2,2,2/16/2021,131931,39.67697831,-75.7482377,1,0,9,0,1,1,2,1,1,0
3308,2,2,2/16/2021,131940,39.67703198,-75.7477039,2,1,1,1,1,1,2,1,2,0
3311,2,2,2/16/2021,132022,39.67729622,-75.7488439,2,0,9,0,1,1,2,1,1,0
3312,2,2,2/16/2021,132033,39.67747376,-75.7493428,2,1,1,1,1,1,2,1,2,9
3313,2,2,2/16/2021,132037,39.67750885,-75.74957,2,1,0,0,1,1,2,1,2,0
3314,2,2,2/16/2021,132043,39.67750472,-75.74984438,2,1,1,1,1,1,3,1,2,0
3315,2,2,2/16/2021,132043,39.67750885,-75.7499382,2,1,1,1,1,1,2,1,2,0
3319,2,2,2/16/2021,132055,39.67745521,-75.7501984,3,1,1,1,1,1,2,1,3,0
3324,2,2,2/16/2021,132058,39.67742013,-75.750354,2,1,1,1,1,1,2,1,2,0
3327,2,2,2/16/2021,132115,39.67758735,-75.75118287,2,1,0,0,1,1,2,1,1,0
3328,2,2,2/16/2021,132132,39.67768643,-75.7517058,2,1,1,1,1,1,2,1,1,0
3329,2,2,2/16/2021,132209,39.67856585,-75.7522691,2,1,1,1,1,1,9,1,2,9
3334,2,2,2/16/2021,132249,39.6795113,-75.7518507,2,1,9,0,1,1,2,1,2,1
3335,2,2,2/16/2021,132255,39.67955052,-75.751896,2,1,0,0,1,1,2,1,2,1
3336,2,2,2/16/2021,132255,39.6795753,-75.7517809,2,1,1,1,1,1,2,1,2,0
3337,2,2,2/16/2021,132320,39.67931107,-75.752749,2,1,1,1,1,1,2,0,2,0
3340,2,2,2/16/2021,132348,39.6789849,-75.7536692,2,1,1,1,1,1,3,9,2,0
3341,2,2,2/16/2021,132352,39.67907367,-75.7535137,2,1,0,0,1,1,2,1,2,0
3342,2,2,2/16/2021,132409,39.67984724,-75.75367332,2,1,1,1,1,1,9,9,2,0
